Digi-Key Part Number,Description,Qty,Price Each (as of 9/2014),Price Total
ATTINY84V-10PU-ND,IC MCU 8BIT 8KB FLASH 14-DIP,1,3.56,3.56
MCP1640CT-I/CHYCT-ND,IC REG BST SYNC ADJ 0.1A SOT23-6,1,0.68,0.68
513-1561-1-ND,INDUCTOR LO PROFILE 4.7UH 0.77A,1,2.06,2.06
587-1779-1-ND,CAP CER 47UF 6.3V 20% X5R 0805,1,0.77,0.77
587-1295-1-ND,CAP CER 10UF 16V 10% X5R 0805,1,0.25,0.25
311-1361-1-ND,CAP CER 0.1UF 50V Y5V 0805,1,0.1,0.1
P536KCCT-ND,RES 536K OHM 1/8W 1% 0805 SMD,1,0.1,0.1
P309KCCT-ND,RES 309K OHM 1/8W 1% 0805 SMD,1,0.1,0.1
P4.7KACT-ND,RES 4.7K OHM 1/8W 5% 0805 SMD,1,0.1,0.1
609-3210-ND,CONN HEADER 6POS .100 STR 15AU,1,0.4,0.4
S7107-ND,"CONN HEADER FMAL 8PS .1"" DL GOLD",1,0.86,0.86
AE9991-ND,IC SOCKET ST 14POS TIN RETENTIVE,1,0.28,0.28
BK-82-ND,CONTACT BATTERY AAA SIZE,4,0.23,0.92
P10KACT-ND,RES 10K OHM 1/8W 5% 0805 SMD,1,0.1,0.1
MCP6242-E/SN-ND,IC OPAMP GP 550KHZ RRO 8SOIC,1,0.43,0.43
450-1804-ND,SWITCH TACTILE SPST-NO 0.05A 12V,1,0.1,0.1
,,,,
,,,Grand Total,10.81
,,,,
Other parts:,,,,
nRF24L01+ Radio such as:,http://www.newegg.com/Product/Product.aspx?Item=9SIA29716H2896&nm_mc=KNC-GoogleMKP&cm_mmc=KNC-GoogleMKP-_-pla-_-Sensors+%26+Transducers-_-9SIA29716H2896,,Shop around the internet to find the best price,
,,,,
Add on sensors:,,,,
Digi-Key Part Number,Description,Qty,Price Each (as of 9/2014),Price Total
DS18B20U+T&RCT-ND,IC THERM MICROLAN PROG-RES 8USOP,1,4.35,4.35
TMP36GRTZ-REEL7CT-ND,IC SENSOR TEMP 2.7/5.5V SOT23-5,1,1.54,1.54
480-3294-1-ND,HUMIDITY SENSOR SMD 3%,1,7.88,7.88
